timeago,scale,city,region
"
      2019-08-18 03:24:23 UTC
    ",5.3 magnitude,Pyay,Bago
"
      2019-08-05 09:43:03 UTC
    ",4.7 magnitude,Myitkyina,Kachin
"
      2019-08-03 12:19:16 UTC
    ",4.7 magnitude,Myitkyina,Kachin
"
      2019-08-02 14:37:38 UTC
    ",4.6 magnitude,Mawlaik,Sagain
"
      2019-07-13 15:08:59 UTC
    ",4.3 magnitude,Yairipok,Manipur
"
      2019-07-05 04:46:32 UTC
    ",4.7 magnitude,Sittwe,Rakhine
"
      2019-06-21 16:42:25 UTC
    ",4.2 magnitude,Tuensang,Nagaland
"
      2019-06-04 13:27:33 UTC
    ",4.6 magnitude,Phek,Manipur
"
      2019-05-22 12:55:54 UTC
    ",4.4 magnitude,Phek,Manipur
"
      2019-05-22 00:39:32 UTC
    ",5.6 magnitude,Bamboo Flat,Andaman and Nicobar Islands
"
      2019-05-04 11:04:02 UTC
    ",5.1 magnitude,Mon,Nagaland
"
      2019-04-29 17:39:44 UTC
    ",4.7 magnitude,Mawlaik,Sagain
"
      2019-04-25 23:37:59 UTC
    ",4.5 magnitude,Mawlaik,Sagain
"
      2019-04-15 01:39:45 UTC
    ",4.7 magnitude,Hakha,Chin
"
      2019-04-04 07:45:30 UTC
    ",5.3 magnitude,Phek,Manipur
"
      2019-03-27 16:39:21 UTC
    ",4.3 magnitude,Pyay,Bago
"
      2019-03-25 20:04:46 UTC
    ",4.6 magnitude,Lashio,Shan
"
      2019-03-25 12:41:25 UTC
    ",4.6 magnitude,Churāchāndpur,Manipur
"
      2019-03-20 23:37:41 UTC
    ",4.3 magnitude,Falam,Chin
"
      2019-03-18 16:54:30 UTC
    ",4.6 magnitude,Monywa,Sagain
"
      2019-03-13 13:44:04 UTC
    ",4.5 magnitude,Falam,Chin
"
      2019-02-17 02:58:32 UTC
    ",4.8 magnitude,Saiha,Mizoram
"
      2019-02-07 08:49:37 UTC
    ",4.3 magnitude,Myitkyina,Kachin
"
      2019-02-06 16:21:25 UTC
    ",4.4 magnitude,Mawlaik,Sagain
"
      2019-02-03 17:20:45 UTC
    ",4.5 magnitude,Mayāng Imphāl,Manipur
"
      2019-02-02 17:32:35 UTC
    ",4.2 magnitude,Phek,Manipur
"
      2019-01-28 03:52:40 UTC
    ",4.5 magnitude,Pyu,Bago
"
      2019-01-27 23:45:56 UTC
    ",4.7 magnitude,Kakching,Manipur
"
      2019-01-27 04:49:20 UTC
    ",4.7 magnitude,Yairipok,Manipur
"
      2019-01-25 17:07:08 UTC
    ",4.6 magnitude,Churāchāndpur,Manipur
"
      2019-01-16 21:39:36 UTC
    ",4.7 magnitude,Bhamo,Kachin
